;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
21.41374999999988 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -74.78333333333348 -1.5707963267948966 flow_0_0 0 5.0 2.0,53.354999999999908 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -253.33499999999999 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -296.0 1.5707963267948966 flow_14_0 0 5.0 2.0,153.34500000000004 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-20.675833333333445 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-275.0 -2.0 0.0 flow_13_0 0 5.0 2.0,97.79499999999996 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -197.78500000000003 1.5707963267948966 flow_10_0 0 5.0 2.0,-242.225 -2.0 0.0 flow_11_0 0 5.0 2.0,-108.90499999999997 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -153.34500000000004 1.5707963267948966 flow_9_0 0 5.0 2.0,-75.57499999999993 -2.0 0.0 flow_4_0 0 5.0 2.0,-153.34500000000004 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
14.469999999999857 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -85.89333333333348 -1.5707963267948966 flow_0_0 0 5.0 2.0,42.24499999999989 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -242.225 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -291.0 1.5707963267948966 flow_14_0 0 5.0 2.0,142.23500000000005 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-31.785833333333444 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-264.445 -2.0 0.0 flow_13_0 0 5.0 2.0,86.68499999999995 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -186.675 1.5707963267948966 flow_10_0 0 5.0 2.0,-231.115 -2.0 0.0 flow_11_0 0 5.0 2.0,-97.79499999999996 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -142.23500000000005 1.5707963267948966 flow_9_0 0 5.0 2.0,-64.46499999999992 -2.0 0.0 flow_4_0 0 5.0 2.0,-142.23500000000005 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -299.0 1.5707963267948966 flow_15_0 0 5.0 2.0,9.840833333333194 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -97.00333333333347 -1.5707963267948966 flow_0_0 0 5.0 2.0,31.579499999999883 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -231.115 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -284.0 1.5707963267948966 flow_14_0 0 5.0 2.0,131.12499999999998 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-42.89583333333344 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-253.33499999999999 -2.0 0.0 flow_13_0 0 5.0 2.0,75.57499999999993 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -175.565 1.5707963267948966 flow_10_0 0 5.0 2.0,-220.005 -2.0 0.0 flow_11_0 0 5.0 2.0,-86.68499999999995 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -131.12499999999998 1.5707963267948966 flow_9_0 0 5.0 2.0,-53.354999999999908 -2.0 0.0 flow_4_0 0 5.0 2.0,-131.12499999999998 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -296.0 1.5707963267948966 flow_15_0 0 5.0 2.0,7.063333333333219 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -108.11333333333347 -1.5707963267948966 flow_0_0 0 5.0 2.0,22.750933333333195 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -220.005 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -275.0 1.5707963267948966 flow_14_0 0 5.0 2.0,120.01499999999999 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-54.00583333333344 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-242.225 -2.0 0.0 flow_13_0 0 5.0 2.0,64.46499999999992 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -164.455 1.5707963267948966 flow_10_0 0 5.0 2.0,-208.895 -2.0 0.0 flow_11_0 0 5.0 2.0,-75.57499999999993 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -120.01499999999999 1.5707963267948966 flow_9_0 0 5.0 2.0,-42.24499999999989 -2.0 0.0 flow_4_0 0 5.0 2.0,-120.01499999999999 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -291.0 1.5707963267948966 flow_15_0 0 5.0 2.0,5.674583333333203 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -119.22333333333346 -1.5707963267948966 flow_0_0 0 5.0 2.0,16.710179999999867 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -208.895 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -264.445 1.5707963267948966 flow_14_0 0 5.0 2.0,108.90499999999997 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-65.11583333333344 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-231.115 -2.0 0.0 flow_13_0 0 5.0 2.0,53.354999999999908 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -153.34500000000004 1.5707963267948966 flow_10_0 0 5.0 2.0,-197.78500000000003 -2.0 0.0 flow_11_0 0 5.0 2.0,-64.46499999999992 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -108.90499999999997 1.5707963267948966 flow_9_0 0 5.0 2.0,-31.134999999999878 -2.0 0.0 flow_4_0 0 5.0 2.0,-108.90499999999997 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -284.0 1.5707963267948966 flow_15_0 0 5.0 2.0,5.211666666666531 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -130.33333333333349 -1.5707963267948966 flow_0_0 0 5.0 2.0,13.460917270819835 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -197.78500000000003 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -253.33499999999999 1.5707963267948966 flow_14_0 0 5.0 2.0,97.79499999999996 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-76.22583333333344 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-220.005 -2.0 0.0 flow_13_0 0 5.0 2.0,42.24499999999989 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -142.23500000000005 1.5707963267948966 flow_10_0 0 5.0 2.0,-186.675 -2.0 0.0 flow_11_0 0 5.0 2.0,-53.354999999999908 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -97.79499999999996 1.5707963267948966 flow_9_0 0 5.0 2.0,-21.41374999999988 -2.0 0.0 flow_4_0 0 5.0 2.0,-97.79499999999996 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 g,road_1_2_3 g,road_2_1_2 r,
2.0 -275.0 1.5707963267948966 flow_15_0 0 5.0 2.0,5.211666666666531 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -141.44333333333348 -1.5707963267948966 flow_0_0 0 5.0 2.0,13.07934251543196 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -186.675 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -242.225 1.5707963267948966 flow_14_0 0 5.0 2.0,86.68499999999995 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-87.33583333333344 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-208.895 -2.0 0.0 flow_13_0 0 5.0 2.0,31.747868241661196 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -131.12499999999998 1.5707963267948966 flow_10_0 0 5.0 2.0,-175.565 -2.0 0.0 flow_11_0 0 5.0 2.0,-42.24499999999989 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -86.68499999999995 1.5707963267948966 flow_9_0 0 5.0 2.0,-14.469999999999857 -2.0 0.0 flow_4_0 0 5.0 2.0,-86.68499999999995 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 g,road_1_2_3 g,road_2_1_2 r,
2.0 -264.445 1.5707963267948966 flow_15_0 0 5.0 2.0,5.211666666666531 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -152.55333333333346 -1.5707963267948966 flow_0_0 0 5.0 2.0,13.07934251543196 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -299.0 1.5707963267948966 flow_17_0 0 5.0 2.0,2.0 -175.565 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -231.115 1.5707963267948966 flow_14_0 0 5.0 2.0,75.57499999999993 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-98.44583333333344 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-197.78500000000003 -2.0 0.0 flow_13_0 0 5.0 2.0,24.07203133807667 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -120.01499999999999 1.5707963267948966 flow_10_0 0 5.0 2.0,-299.0 -2.0 0.0 flow_16_0 0 5.0 2.0,-164.455 -2.0 0.0 flow_11_0 0 5.0 2.0,-31.579499999999883 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -75.57499999999993 1.5707963267948966 flow_9_0 0 5.0 2.0,-9.840833333333194 -2.0 0.0 flow_4_0 0 5.0 2.0,-75.57499999999993 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 g,road_1_2_3 g,road_2_1_2 r,
2.0 -253.33499999999999 1.5707963267948966 flow_15_0 0 5.0 2.0,5.211666666666531 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -163.66333333333348 -1.5707963267948966 flow_0_0 0 5.0 2.0,13.07934251543196 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -296.0 1.5707963267948966 flow_17_0 0 5.0 2.0,2.0 -164.455 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -220.005 1.5707963267948966 flow_14_0 0 5.0 2.0,64.46499999999992 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-109.55583333333344 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-186.675 -2.0 0.0 flow_13_0 0 5.0 2.0,20.73898913930924 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -108.90499999999997 1.5707963267948966 flow_10_0 0 5.0 2.0,-296.0 -2.0 0.0 flow_16_0 0 5.0 2.0,-153.34500000000004 -2.0 0.0 flow_11_0 0 5.0 2.0,-22.750933333333195 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -64.46499999999992 1.5707963267948966 flow_9_0 0 5.0 2.0,-7.063333333333219 -2.0 0.0 flow_4_0 0 5.0 2.0,-64.46499999999992 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 g,road_1_2_3 g,road_2_1_2 r,
2.0 -242.225 1.5707963267948966 flow_15_0 0 5.0 2.0,5.211666666666531 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -174.77333333333349 -1.5707963267948966 flow_0_0 0 5.0 2.0,13.07934251543196 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -291.0 1.5707963267948966 flow_17_0 0 5.0 2.0,2.0 -153.34500000000004 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -208.895 1.5707963267948966 flow_14_0 0 5.0 2.0,53.354999999999908 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-120.66583333333344 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-175.565 -2.0 0.0 flow_13_0 0 5.0 2.0,20.57934251543196 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -97.79499999999996 1.5707963267948966 flow_10_0 0 5.0 2.0,-291.0 -2.0 0.0 flow_16_0 0 5.0 2.0,-142.23500000000005 -2.0 0.0 flow_11_0 0 5.0 2.0,-16.710179999999867 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -53.354999999999908 1.5707963267948966 flow_9_0 0 5.0 2.0,-5.674583333333203 -2.0 0.0 flow_4_0 0 5.0 2.0,-53.354999999999908 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 g,road_1_2_3 g,road_2_1_2 r,
2.0 -231.115 1.5707963267948966 flow_15_0 0 5.0 2.0,5.211666666666531 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -185.8833333333335 -1.5707963267948966 flow_0_0 0 5.0 2.0,13.07934251543196 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -284.0 1.5707963267948966 flow_17_0 0 5.0 2.0,2.0 -142.23500000000005 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -197.78500000000003 1.5707963267948966 flow_14_0 0 5.0 2.0,42.24499999999989 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-131.77583333333343 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-164.455 -2.0 0.0 flow_13_0 0 5.0 2.0,20.57934251543196 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -86.68499999999995 1.5707963267948966 flow_10_0 0 5.0 2.0,-284.0 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -299.0 1.5707963267948966 flow_18_0 0 5.0 2.0,-131.12499999999998 -2.0 0.0 flow_11_0 0 5.0 2.0,-13.460917270819835 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -42.24499999999989 1.5707963267948966 flow_9_0 0 5.0 2.0,-5.211666666666531 -2.0 0.0 flow_4_0 0 5.0 2.0,-42.24499999999989 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -220.005 1.5707963267948966 flow_15_0 0 5.0 2.0,5.211666666666531 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -196.9933333333335 -1.5707963267948966 flow_0_0 0 5.0 2.0,13.07934251543196 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -275.0 1.5707963267948966 flow_17_0 0 5.0 2.0,2.0 -131.12499999999998 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -186.675 1.5707963267948966 flow_14_0 0 5.0 2.0,33.35686850308633 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-142.88583333333345 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-153.34500000000004 -2.0 0.0 flow_13_0 0 5.0 2.0,20.57934251543196 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -75.57499999999993 1.5707963267948966 flow_10_0 0 5.0 2.0,-275.0 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -296.0 1.5707963267948966 flow_18_0 0 5.0 2.0,-120.01499999999999 -2.0 0.0 flow_11_0 0 5.0 2.0,-13.07934251543196 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -31.134999999999878 1.5707963267948966 flow_9_0 0 5.0 2.0,-5.211666666666531 -2.0 0.0 flow_4_0 0 5.0 2.0,-31.747868241661196 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -208.895 1.5707963267948966 flow_15_0 0 5.0 2.0,5.211666666666531 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -208.10333333333353 -1.5707963267948966 flow_0_0 0 5.0 2.0,13.07934251543196 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -264.445 1.5707963267948966 flow_17_0 0 5.0 2.0,2.0 -120.01499999999999 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -175.565 1.5707963267948966 flow_14_0 0 5.0 2.0,28.7737606685713 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-153.99583333333349 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-142.23500000000005 -2.0 0.0 flow_13_0 0 5.0 2.0,20.57934251543196 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -64.46499999999992 1.5707963267948966 flow_10_0 0 5.0 2.0,-264.445 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -291.0 1.5707963267948966 flow_18_0 0 5.0 2.0,-108.90499999999997 -2.0 0.0 flow_11_0 0 5.0 2.0,-13.07934251543196 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -21.41374999999988 1.5707963267948966 flow_9_0 0 5.0 2.0,-5.211666666666531 -2.0 0.0 flow_4_0 0 5.0 2.0,-24.07203133807667 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -197.78500000000003 1.5707963267948966 flow_15_0 0 5.0 2.0,5.211666666666531 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -219.21333333333355 -1.5707963267948966 flow_0_0 0 5.0 2.0,13.07934251543196 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -253.33499999999999 1.5707963267948966 flow_17_0 0 5.0 2.0,2.0 -108.90499999999997 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -164.455 1.5707963267948966 flow_14_0 0 5.0 2.0,28.07934251543196 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-165.10583333333347 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-131.12499999999998 -2.0 0.0 flow_13_0 0 5.0 2.0,20.57934251543196 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -53.354999999999908 1.5707963267948966 flow_10_0 0 5.0 2.0,2.0 -299.0 1.5707963267948966 flow_19_0 0 5.0 2.0,-253.33499999999999 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -284.0 1.5707963267948966 flow_18_0 0 5.0 2.0,-97.79499999999996 -2.0 0.0 flow_11_0 0 5.0 2.0,-13.07934251543196 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -14.469999999999857 1.5707963267948966 flow_9_0 0 5.0 2.0,-5.211666666666531 -2.0 0.0 flow_4_0 0 5.0 2.0,-20.73898913930924 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -186.675 1.5707963267948966 flow_15_0 0 5.0 2.0,5.211666666666531 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -230.32333333333356 -1.5707963267948966 flow_0_0 0 5.0 2.0,13.07934251543196 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -242.225 1.5707963267948966 flow_17_0 0 5.0 2.0,2.0 -97.79499999999996 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -153.34500000000004 1.5707963267948966 flow_14_0 0 5.0 2.0,28.07934251543196 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-176.21583333333349 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-120.01499999999999 -2.0 0.0 flow_13_0 0 5.0 2.0,20.57934251543196 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -42.24499999999989 1.5707963267948966 flow_10_0 0 5.0 2.0,2.0 -296.0 1.5707963267948966 flow_19_0 0 5.0 2.0,-242.225 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -275.0 1.5707963267948966 flow_18_0 0 5.0 2.0,-299.0 -2.0 0.0 flow_20_0 0 5.0 2.0,-86.68499999999995 -2.0 0.0 flow_11_0 0 5.0 2.0,-13.07934251543196 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -9.840833333333194 1.5707963267948966 flow_9_0 0 5.0 2.0,-5.211666666666531 -2.0 0.0 flow_4_0 0 5.0 2.0,-20.57934251543196 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -175.565 1.5707963267948966 flow_15_0 0 5.0 2.0,4.211666666666531 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -241.43333333333357 -1.5707963267948966 flow_0_0 0 5.0 2.0,13.07934251543196 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -231.115 1.5707963267948966 flow_17_0 0 5.0 2.0,299.0 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 -86.68499999999995 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -142.23500000000005 1.5707963267948966 flow_14_0 0 5.0 2.0,28.07934251543196 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-187.3258333333335 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-108.90499999999997 -2.0 0.0 flow_13_0 0 5.0 2.0,20.57934251543196 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -31.134999999999878 1.5707963267948966 flow_10_0 0 5.0 2.0,2.0 -291.0 1.5707963267948966 flow_19_0 0 5.0 2.0,-231.115 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -264.445 1.5707963267948966 flow_18_0 0 5.0 2.0,-296.0 -2.0 0.0 flow_20_0 0 5.0 2.0,-75.57499999999993 -2.0 0.0 flow_11_0 0 5.0 2.0,-13.07934251543196 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -7.063333333333219 1.5707963267948966 flow_9_0 0 5.0 2.0,-4.211666666666531 -2.0 0.0 flow_4_0 0 5.0 2.0,-20.57934251543196 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
2.0 -164.455 1.5707963267948966 flow_15_0 0 5.0 2.0,1.2116666666665313 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -252.54333333333359 -1.5707963267948966 flow_0_0 0 5.0 2.0,2.0 -299.0 1.5707963267948966 flow_22_0 0 5.0 2.0,12.07934251543196 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -220.005 1.5707963267948966 flow_17_0 0 5.0 2.0,296.0 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 -75.57499999999993 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -131.12499999999998 1.5707963267948966 flow_14_0 0 5.0 2.0,28.07934251543196 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-198.4358333333335 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-97.79499999999996 -2.0 0.0 flow_13_0 0 5.0 2.0,20.57934251543196 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -21.58049999999986 1.5707963267948966 flow_10_0 0 5.0 2.0,2.0 -284.0 1.5707963267948966 flow_19_0 0 5.0 2.0,-220.005 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -253.33499999999999 1.5707963267948966 flow_18_0 0 5.0 2.0,-291.0 -2.0 0.0 flow_20_0 0 5.0 2.0,-64.46499999999992 -2.0 0.0 flow_11_0 0 5.0 2.0,-12.07934251543196 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -5.674583333333203 1.5707963267948966 flow_9_0 0 5.0 2.0,-1.2116666666665313 -2.0 0.0 flow_4_0 0 5.0 2.0,-20.57934251543196 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -153.34500000000004 1.5707963267948966 flow_15_0 0 5.0 2.0,-3.788333333333469 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -263.6533333333336 -1.5707963267948966 flow_0_0 0 5.0 2.0,2.0 -296.0 1.5707963267948966 flow_22_0 0 5.0 2.0,9.305807345678887 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -208.895 1.5707963267948966 flow_17_0 0 5.0 2.0,291.0 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 -64.46499999999992 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -120.01499999999999 1.5707963267948966 flow_14_0 0 5.0 2.0,28.07934251543196 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-209.54583333333353 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-86.68499999999995 -2.0 0.0 flow_13_0 0 5.0 2.0,19.82934251543196 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -15.330447550358827 1.5707963267948966 flow_10_0 0 5.0 2.0,2.0 -275.0 1.5707963267948966 flow_19_0 0 5.0 2.0,-208.895 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -242.225 1.5707963267948966 flow_18_0 0 5.0 2.0,-284.0 -2.0 0.0 flow_20_0 0 5.0 2.0,-53.354999999999908 -2.0 0.0 flow_11_0 0 5.0 2.0,-9.305807345678887 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -5.211666666666531 1.5707963267948966 flow_9_0 0 5.0 2.0,3.788333333333469 -2.0 0.0 flow_4_0 0 5.0 2.0,-19.82934251543196 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -142.23500000000005 1.5707963267948966 flow_15_0 0 5.0 2.0,-10.788333333333469 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -274.7633333333336 -1.5707963267948966 flow_0_0 0 5.0 2.0,2.0 -291.0 1.5707963267948966 flow_22_0 0 5.0 2.0,6.645504591049246 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -197.78500000000003 1.5707963267948966 flow_17_0 0 5.0 2.0,284.0 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 -53.354999999999908 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -108.90499999999997 1.5707963267948966 flow_14_0 0 5.0 2.0,28.07934251543196 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-220.65583333333354 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-75.57499999999993 -2.0 0.0 flow_13_0 0 5.0 2.0,17.415221413580129 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -12.757781084264594 1.5707963267948966 flow_10_0 0 5.0 2.0,2.0 -264.445 1.5707963267948966 flow_19_0 0 5.0 2.0,-197.78500000000003 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -231.115 1.5707963267948966 flow_18_0 0 5.0 2.0,-275.0 -2.0 0.0 flow_20_0 0 5.0 2.0,-42.24499999999989 -2.0 0.0 flow_11_0 0 5.0 2.0,-6.645504591049246 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -5.211666666666531 1.5707963267948966 flow_9_0 0 5.0 2.0,10.788333333333469 -2.0 0.0 flow_4_0 0 5.0 2.0,-17.415221413580129 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
