;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 -197.5487314418638 -1.5707963267948966 flow_58_0 0 5.0 2.0,1.5 -40.766666666666598 1.5707963267948966 flow_65_0 0 5.0 2.0,-10.766666666666595 -4.5 0.0 flow_56_0 0 5.0 2.0,4.5 36.274739446751897 1.5707963267948966 flow_67_0 0 5.0 2.0,4.5 224.53382669062087 1.5707963267948966 flow_45_0 0 5.0 2.0,-4.5 -224.7683333333335 -1.5707963267948966 flow_53_0 0 5.0 2.0,-4.5 -124.40500000000015 -1.5707963267948966 flow_62_0 0 5.0 2.0,-4.5 -24.41500000000015 -1.5707963267948966 flow_68_0 0 5.0 2.0,4.5 -10.102637223189334 1.5707963267948966 flow_70_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,-4.5 -157.73500000000014 -1.5707963267948966 flow_61_0 0 5.0 2.0,4.5 -64.46499999999992 1.5707963267948966 flow_74_0 0 5.0 2.0,4.5 -19.86101336022284 1.5707963267948966 flow_71_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-4.5 42.24499999999989 -1.5707963267948966 flow_73_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 197.31431011601456 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 170.098941927105 1.5707963267948966 flow_51_0 0 5.0 2.0,-4.5 -57.74500000000015 -1.5707963267948966 flow_66_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 88.81102558932106 1.5707963267948966 flow_59_0 0 5.0 2.0,4.5 -97.79499999999996 1.5707963267948966 flow_75_0 0 5.0 2.0,10.766666666666595 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,4.5 115.77272932640827 1.5707963267948966 flow_55_0 0 5.0 2.0,4.5 -36.698211666898718 1.5707963267948966 flow_72_0 0 5.0 2.0,-4.5 -91.07500000000015 -1.5707963267948966 flow_63_0 0 5.0 2.0,-25.766666666666596 -1.5 0.0 flow_57_0 0 5.0 2.0,1.5 -33.266666666666598 1.5707963267948966 flow_60_0 0 5.0 2.0,4.5 62.21223133721755 1.5707963267948966 flow_64_0 0 5.0 2.0,4.5 142.90324951282279 1.5707963267948966 flow_54_0 0 5.0 2.0,-4.5 15.704444444444335 -1.5707963267948966 flow_69_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 -208.65857219845163 -1.5707963267948966 flow_58_0 0 5.0 2.0,1.5 -40.766666666666598 1.5707963267948966 flow_65_0 0 5.0 2.0,-10.766666666666595 -4.5 0.0 flow_56_0 0 5.0 2.0,4.5 46.79537778189627 1.5707963267948966 flow_67_0 0 5.0 2.0,4.5 235.64382669062088 1.5707963267948966 flow_45_0 0 5.0 2.0,-4.5 -235.8783333333335 -1.5707963267948966 flow_53_0 0 5.0 2.0,-4.5 -135.51500000000017 -1.5707963267948966 flow_62_0 0 5.0 2.0,-4.5 -35.52500000000015 -1.5707963267948966 flow_68_0 0 5.0 2.0,4.5 -10.102637223189334 1.5707963267948966 flow_70_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,-4.5 -168.84500000000015 -1.5707963267948966 flow_61_0 0 5.0 2.0,4.5 -53.643061127315608 1.5707963267948966 flow_74_0 0 5.0 2.0,4.5 -17.96755303057148 1.5707963267948966 flow_71_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-4.5 31.888111111111017 -1.5707963267948966 flow_73_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 208.42411674585709 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 181.20702474594965 1.5707963267948966 flow_51_0 0 5.0 2.0,-4.5 -68.85500000000016 -1.5707963267948966 flow_66_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 99.80627973801114 1.5707963267948966 flow_59_0 0 5.0 2.0,4.5 -86.68499999999995 1.5707963267948966 flow_75_0 0 5.0 2.0,10.766666666666595 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,4.5 126.84378012844593 1.5707963267948966 flow_55_0 0 5.0 2.0,4.5 -30.385849136719629 1.5707963267948966 flow_72_0 0 5.0 2.0,-4.5 -102.18500000000015 -1.5707963267948966 flow_63_0 0 5.0 2.0,-25.766666666666596 -1.5 0.0 flow_57_0 0 5.0 2.0,1.5 -33.266666666666598 1.5707963267948966 flow_60_0 0 5.0 2.0,4.5 73.04137182830702 1.5707963267948966 flow_64_0 0 5.0 2.0,4.5 154.0029160655813 1.5707963267948966 flow_54_0 0 5.0 2.0,-4.5 12.001111111111016 -1.5707963267948966 flow_69_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
-4.5 -219.7684766524044 -1.5707963267948966 flow_58_0 0 5.0 2.0,1.5 -40.766666666666598 1.5707963267948966 flow_65_0 0 5.0 2.0,-9.766666666666595 -4.5 0.0 flow_56_0 0 5.0 2.0,4.5 57.45960349867847 1.5707963267948966 flow_67_0 0 5.0 2.0,4.5 246.75382669062089 1.5707963267948966 flow_45_0 0 5.0 2.0,-4.5 -246.98833333333352 -1.5707963267948966 flow_53_0 0 5.0 2.0,-4.5 -146.62500000000015 -1.5707963267948966 flow_62_0 0 5.0 2.0,-4.5 -46.63500000000014 -1.5707963267948966 flow_68_0 0 5.0 2.0,4.5 -10.102637223189334 1.5707963267948966 flow_70_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,-4.5 -179.95500000000016 -1.5707963267948966 flow_61_0 0 5.0 2.0,4.5 -44.17578855654034 1.5707963267948966 flow_74_0 0 5.0 2.0,4.5 -17.96752184849521 1.5707963267948966 flow_71_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-4.5 23.86193333333324 -1.5707963267948966 flow_73_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 219.5340007237626 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 192.31582287188113 1.5707963267948966 flow_51_0 0 5.0 2.0,-4.5 -79.96500000000015 -1.5707963267948966 flow_66_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 110.83549005459259 1.5707963267948966 flow_59_0 0 5.0 2.0,4.5 -75.57499999999993 1.5707963267948966 flow_75_0 0 5.0 2.0,10.766666666666595 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,4.5 137.9273678138518 1.5707963267948966 flow_55_0 0 5.0 2.0,4.5 -26.285095743334695 1.5707963267948966 flow_72_0 0 5.0 2.0,-4.5 -113.29500000000015 -1.5707963267948966 flow_63_0 0 5.0 2.0,-25.766666666666596 -1.5 0.0 flow_57_0 0 5.0 2.0,1.5 -33.266666666666598 1.5707963267948966 flow_60_0 0 5.0 2.0,4.5 83.94638582192667 1.5707963267948966 flow_64_0 0 5.0 2.0,4.5 165.10617610149758 1.5707963267948966 flow_54_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_69_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-4.5 -230.87841932477606 -1.5707963267948966 flow_58_0 0 5.0 2.0,1.5 -40.766666666666598 1.5707963267948966 flow_65_0 0 5.0 2.0,-6.766666666666595 -4.5 0.0 flow_56_0 0 5.0 2.0,4.5 68.23531922670169 1.5707963267948966 flow_67_0 0 5.0 2.0,4.5 257.8638266906209 1.5707963267948966 flow_45_0 0 5.0 2.0,-4.5 -258.0983333333335 -1.5707963267948966 flow_53_0 0 5.0 2.0,-4.5 -157.73500000000014 -1.5707963267948966 flow_62_0 0 5.0 2.0,-4.5 -57.74500000000015 -1.5707963267948966 flow_68_0 0 5.0 2.0,4.5 -10.102637223189334 1.5707963267948966 flow_70_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,-4.5 -191.06500000000018 -1.5707963267948966 flow_61_0 0 5.0 2.0,4.5 -37.12605691710303 1.5707963267948966 flow_74_0 0 5.0 2.0,4.5 -17.96752184849521 1.5707963267948966 flow_71_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-4.5 19.19353467645078 -1.5707963267948966 flow_73_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 230.64393111050593 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 203.42507080821484 1.5707963267948966 flow_51_0 0 5.0 2.0,-4.5 -91.07500000000015 -1.5707963267948966 flow_66_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 121.88895869537743 1.5707963267948966 flow_59_0 0 5.0 2.0,4.5 -64.46499999999992 1.5707963267948966 flow_75_0 0 5.0 2.0,10.766666666666595 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,4.5 149.01954313609336 1.5707963267948966 flow_55_0 0 5.0 2.0,4.5 -25.46752184849521 1.5707963267948966 flow_72_0 0 5.0 2.0,-4.5 -124.40500000000015 -1.5707963267948966 flow_63_0 0 5.0 2.0,-25.766666666666596 -1.5 0.0 flow_57_0 0 5.0 2.0,1.5 -33.266666666666598 1.5707963267948966 flow_60_0 0 5.0 2.0,4.5 94.90786957830933 1.5707963267948966 flow_64_0 0 5.0 2.0,4.5 176.2117944348373 1.5707963267948966 flow_54_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_69_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-4.5 -241.98838492819903 -1.5707963267948966 flow_58_0 0 5.0 2.0,1.5 -40.766666666666598 1.5707963267948966 flow_65_0 0 5.0 2.0,-1.7666666666665947 -4.5 0.0 flow_56_0 0 5.0 2.0,4.5 79.09663611862128 1.5707963267948966 flow_67_0 0 5.0 2.0,4.5 268.9738266906209 1.5707963267948966 flow_45_0 0 5.0 2.0,-4.5 -269.20833333333357 -1.5707963267948966 flow_53_0 0 5.0 2.0,-4.5 -168.84500000000015 -1.5707963267948966 flow_62_0 0 5.0 2.0,-4.5 -68.85500000000016 -1.5707963267948966 flow_68_0 0 5.0 2.0,4.5 -10.102637223189334 1.5707963267948966 flow_70_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,299.0 4.5 3.141592653589793 flow_76_0 0 5.0 2.0,-4.5 -202.17500000000019 -1.5707963267948966 flow_61_0 0 5.0 2.0,4.5 -33.34954213299693 1.5707963267948966 flow_74_0 0 5.0 2.0,4.5 -17.96752184849521 1.5707963267948966 flow_71_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-4.5 18.266666666666596 -1.5707963267948966 flow_73_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 241.7538893425519 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 214.53460100647994 1.5707963267948966 flow_51_0 0 5.0 2.0,-4.5 -102.18500000000015 -1.5707963267948966 flow_66_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 132.95962753611213 1.5707963267948966 flow_59_0 0 5.0 2.0,4.5 -53.87233179515127 1.5707963267948966 flow_75_0 0 5.0 2.0,10.766666666666595 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,4.5 160.11756732225889 1.5707963267948966 flow_55_0 0 5.0 2.0,4.5 -25.46752184849521 1.5707963267948966 flow_72_0 0 5.0 2.0,-4.5 -135.51500000000017 -1.5707963267948966 flow_63_0 0 5.0 2.0,-25.766666666666596 -1.5 0.0 flow_57_0 0 5.0 2.0,1.5 -33.266666666666598 1.5707963267948966 flow_60_0 0 5.0 2.0,4.5 105.91099895329355 1.5707963267948966 flow_64_0 0 5.0 2.0,4.5 187.31895457145505 1.5707963267948966 flow_54_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_69_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-4.5 -253.09836429025286 -1.5707963267948966 flow_58_0 0 5.0 2.0,1.5 -40.766666666666598 1.5707963267948966 flow_65_0 0 5.0 2.0,5.233333333333405 -4.5 4.1895208476420999e-16 flow_56_0 0 5.0 2.0,4.5 90.02300712748702 1.5707963267948966 flow_67_0 0 5.0 2.0,4.5 280.0838266906209 1.5707963267948966 flow_45_0 0 5.0 2.0,-4.5 -280.31833333333358 -1.5707963267948966 flow_53_0 0 5.0 2.0,-4.5 -179.95500000000016 -1.5707963267948966 flow_62_0 0 5.0 2.0,-4.5 -79.96500000000015 -1.5707963267948966 flow_68_0 0 5.0 2.0,4.5 -10.102637223189334 1.5707963267948966 flow_70_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,296.0 4.5 3.141592653589793 flow_76_0 0 5.0 2.0,-4.5 -213.2850000000002 -1.5707963267948966 flow_61_0 0 5.0 2.0,4.5 -32.96752184849521 1.5707963267948966 flow_74_0 0 5.0 2.0,4.5 -17.96752184849521 1.5707963267948966 flow_71_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-4.5 18.266666666666596 -1.5707963267948966 flow_73_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 252.8638642817795 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 225.64430798731793 1.5707963267948966 flow_51_0 0 5.0 2.0,-4.5 -113.29500000000015 -1.5707963267948966 flow_66_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 144.0424082878039 1.5707963267948966 flow_59_0 0 5.0 2.0,4.5 -45.54468228931978 1.5707963267948966 flow_75_0 0 5.0 2.0,10.766666666666595 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,4.5 171.2195542492609 1.5707963267948966 flow_55_0 0 5.0 2.0,4.5 -25.46752184849521 1.5707963267948966 flow_72_0 0 5.0 2.0,-4.5 -146.62500000000015 -1.5707963267948966 flow_63_0 0 5.0 2.0,-25.766666666666596 -1.5 0.0 flow_57_0 0 5.0 2.0,1.5 -33.266666666666598 1.5707963267948966 flow_60_0 0 5.0 2.0,4.5 116.9445841545679 1.5707963267948966 flow_64_0 0 5.0 2.0,4.5 198.42711918511803 1.5707963267948966 flow_54_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_69_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-4.5 -264.2083519074851 -1.5707963267948966 flow_58_0 0 5.0 2.0,1.5 -40.766666666666598 1.5707963267948966 flow_65_0 0 5.0 2.0,14.233333333333406 -4.5 0.0 flow_56_0 0 5.0 2.0,4.5 100.99835497857424 1.5707963267948966 flow_67_0 0 5.0 2.0,4.5 291.19382669062096 1.5707963267948966 flow_45_0 0 5.0 2.0,-4.5 -291.42833333333359 -1.5707963267948966 flow_53_0 0 5.0 2.0,-4.5 -191.06500000000018 -1.5707963267948966 flow_62_0 0 5.0 2.0,-4.5 -91.07500000000015 -1.5707963267948966 flow_68_0 0 5.0 2.0,4.5 -10.102637223189334 1.5707963267948966 flow_70_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,291.0 4.5 3.141592653589793 flow_76_0 0 5.0 2.0,-4.5 -224.3950000000002 -1.5707963267948966 flow_61_0 0 5.0 2.0,4.5 -32.96752184849521 1.5707963267948966 flow_74_0 0 5.0 2.0,4.5 -17.96752184849521 1.5707963267948966 flow_71_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-4.5 18.266666666666596 -1.5707963267948966 flow_73_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 263.97384924531607 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 236.75412549294806 1.5707963267948966 flow_51_0 0 5.0 2.0,-4.5 -124.40500000000015 -1.5707963267948966 flow_66_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 155.13366405778712 1.5707963267948966 flow_59_0 0 5.0 2.0,4.5 -41.08040151574886 1.5707963267948966 flow_75_0 0 5.0 2.0,10.766666666666595 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,4.5 182.32421314633636 1.5707963267948966 flow_55_0 0 5.0 2.0,4.5 -25.46752184849521 1.5707963267948966 flow_72_0 0 5.0 2.0,-4.5 -157.73500000000014 -1.5707963267948966 flow_63_0 0 5.0 2.0,-25.766666666666596 -1.5 0.0 flow_57_0 0 5.0 2.0,1.5 -33.266666666666598 1.5707963267948966 flow_60_0 0 5.0 2.0,4.5 128.00026995820068 1.5707963267948966 flow_64_0 0 5.0 2.0,4.5 209.5359361021656 1.5707963267948966 flow_54_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_69_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-4.5 -275.3183444778245 -1.5707963267948966 flow_58_0 0 5.0 2.0,1.5 -40.766666666666598 1.5707963267948966 flow_65_0 0 5.0 2.0,24.788333333333406 -4.5 0.0 flow_56_0 0 5.0 2.0,4.5 112.01025813115138 1.5707963267948966 flow_67_0 0 5.0 2.0,-4.5 -202.17500000000019 -1.5707963267948966 flow_62_0 0 5.0 2.0,-4.5 -102.18500000000015 -1.5707963267948966 flow_68_0 0 5.0 2.0,4.5 -10.102637223189334 1.5707963267948966 flow_70_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,284.0 4.5 3.141592653589793 flow_76_0 0 5.0 2.0,-4.5 -235.50500000000023 -1.5707963267948966 flow_61_0 0 5.0 2.0,4.5 -32.96752184849521 1.5707963267948966 flow_74_0 0 5.0 2.0,4.5 -17.96752184849521 1.5707963267948966 flow_71_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-4.5 18.266666666666596 -1.5707963267948966 flow_73_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 275.083840223438 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 247.86401198660259 1.5707963267948966 flow_51_0 0 5.0 2.0,-4.5 -135.51500000000017 -1.5707963267948966 flow_66_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 166.23081547262189 1.5707963267948966 flow_59_0 0 5.0 2.0,4.5 -40.46752184849521 1.5707963267948966 flow_75_0 0 5.0 2.0,10.766666666666595 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,4.5 193.43066571207755 1.5707963267948966 flow_55_0 0 5.0 2.0,4.5 -25.46752184849521 1.5707963267948966 flow_72_0 0 5.0 2.0,-4.5 -168.84500000000015 -1.5707963267948966 flow_63_0 0 5.0 2.0,-25.766666666666596 -1.5 0.0 flow_57_0 0 5.0 2.0,1.5 -33.266666666666598 1.5707963267948966 flow_60_0 0 5.0 2.0,4.5 139.0718787520319 1.5707963267948966 flow_64_0 0 5.0 2.0,4.5 220.6451753596046 1.5707963267948966 flow_54_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_69_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-4.5 -286.42834169170177 -1.5707963267948966 flow_58_0 0 5.0 2.0,1.5 -40.766666666666598 1.5707963267948966 flow_65_0 0 5.0 2.0,35.898333333333408 -4.5 0.0 flow_56_0 0 5.0 2.0,4.5 123.04922813826983 1.5707963267948966 flow_67_0 0 5.0 2.0,299.0 4.5 3.141592653589793 flow_77_0 0 5.0 2.0,-4.5 -213.2850000000002 -1.5707963267948966 flow_62_0 0 5.0 2.0,-4.5 -113.29500000000015 -1.5707963267948966 flow_68_0 0 5.0 2.0,4.5 -10.102637223189334 1.5707963267948966 flow_70_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,275.0 4.5 3.141592653589793 flow_76_0 0 5.0 2.0,-4.5 -246.61500000000025 -1.5707963267948966 flow_61_0 0 5.0 2.0,4.5 -32.96752184849521 1.5707963267948966 flow_74_0 0 5.0 2.0,4.5 -17.96752184849521 1.5707963267948966 flow_71_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-4.5 18.266666666666596 -1.5707963267948966 flow_73_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 286.19383684023378 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 258.97394147696118 1.5707963267948966 flow_51_0 0 5.0 2.0,-4.5 -146.62500000000015 -1.5707963267948966 flow_66_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 177.3320460815524 1.5707963267948966 flow_59_0 0 5.0 2.0,4.5 -40.46752184849521 1.5707963267948966 flow_75_0 0 5.0 2.0,10.766666666666595 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,4.5 204.53831742257618 1.5707963267948966 flow_55_0 0 5.0 2.0,4.5 -25.46752184849521 1.5707963267948966 flow_72_0 0 5.0 2.0,-4.5 -179.95500000000016 -1.5707963267948966 flow_63_0 0 5.0 2.0,-25.766666666666596 -1.5 0.0 flow_57_0 0 5.0 2.0,1.5 -33.266666666666598 1.5707963267948966 flow_60_0 0 5.0 2.0,4.5 150.15488372323487 1.5707963267948966 flow_64_0 0 5.0 2.0,4.5 231.75468730913466 1.5707963267948966 flow_54_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_69_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-4.5 -297.53834169170178 -1.5707963267948966 flow_58_0 0 5.0 2.0,1.5 -40.766666666666598 1.5707963267948966 flow_65_0 0 5.0 2.0,47.008333333333407 -4.5 0.0 flow_56_0 0 5.0 2.0,4.5 134.1080913664964 1.5707963267948966 flow_67_0 0 5.0 2.0,296.0 4.5 3.141592653589793 flow_77_0 0 5.0 2.0,-4.5 -224.3950000000002 -1.5707963267948966 flow_62_0 0 5.0 2.0,-4.5 -124.40500000000015 -1.5707963267948966 flow_68_0 0 5.0 2.0,4.5 -10.102637223189334 1.5707963267948966 flow_70_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,264.445 4.5 3.141592653589793 flow_76_0 0 5.0 2.0,-4.5 -257.72500000000027 -1.5707963267948966 flow_61_0 0 5.0 2.0,4.5 -32.96752184849521 1.5707963267948966 flow_74_0 0 5.0 2.0,4.5 -17.96752184849521 1.5707963267948966 flow_71_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-4.5 18.266666666666596 -1.5707963267948966 flow_73_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 297.30383684023379 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 270.0838989456293 1.5707963267948966 flow_51_0 0 5.0 2.0,-4.5 -157.73500000000014 -1.5707963267948966 flow_66_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 188.43608496006164 1.5707963267948966 flow_59_0 0 5.0 2.0,4.5 -40.46752184849521 1.5707963267948966 flow_75_0 0 5.0 2.0,10.766666666666595 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,4.5 215.6467677671056 1.5707963267948966 flow_55_0 0 5.0 2.0,4.5 -25.46752184849521 1.5707963267948966 flow_72_0 0 5.0 2.0,-4.5 -191.06500000000018 -1.5707963267948966 flow_63_0 0 5.0 2.0,-25.766666666666596 -1.5 0.0 flow_57_0 0 5.0 2.0,1.5 -33.266666666666598 1.5707963267948966 flow_60_0 0 5.0 2.0,4.5 161.24599478834799 1.5707963267948966 flow_64_0 0 5.0 2.0,4.5 242.864374874337 1.5707963267948966 flow_54_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_69_0 0 5.0 2.0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
